Tiempo [s],h1_Real,h2_Real,h3_Real,h4_Real,h1_Ref,h2_Ref,h3_Ref,h4_Ref,v1_Control,v2_Control
1169,15.050492241133513,14.020224243571766,1.35478971772771,1.9757277055706768,14.0,15.0,1.9750004767773484,1.555515908871113,4.179648341122694,2.072669625842738
1170,15.09224332007539,13.973085382887245,1.3289668397898926,1.994939390552867,14.0,15.0,1.9750004767773484,1.555515908871113,4.176455847314894,2.178990824943209
1171,15.148893549211117,13.934373464875339,1.309842988479935,2.0197990853848986,14.0,15.0,1.9750004767773484,1.555515908871113,4.377089904074969,2.296139145737212
1172,15.17981808418144,13.90317994897946,1.2965368399213515,2.034990389734327,14.0,15.0,1.9750004767773484,1.555515908871113,4.085191389148327,2.4011130269149588
1173,15.199052960550143,13.887600331613662,1.2950282494946672,2.045711085322462,14.0,15.0,1.9750004767773484,1.555515908871113,3.953460382521557,2.6400565106254916
1174,15.222687289001222,13.846802738858683,1.2743874083714068,2.05808616636973,14.0,15.0,1.9750004767773484,1.555515908871113,4.016658145857247,2.228748009296841
1175,15.253666639074499,13.79850938142236,1.2485434727003422,2.07341648979552,14.0,15.0,1.9750004767773484,1.555515908871113,4.12352547090665,2.0958250457320764
1176,15.280764120740171,13.75312490635717,1.2254585409354763,2.0875054116009526,14.0,15.0,1.9750004767773484,1.555515908871113,4.0966683240888075,2.1278022382709065
1177,15.283084388305952,13.715711304190032,1.2089161415083867,2.0924978208136626,14.0,15.0,1.9750004767773484,1.555515908871113,3.813620784587601,2.2435546911818514
1178,15.305886805883375,13.688673757668957,1.200469040592666,2.1052349584890067,14.0,15.0,1.9750004767773484,1.555515908871113,4.069454674317081,2.3994257867967397
1179,15.33664765851093,13.652736249397124,1.1852977472369208,2.120941858271311,14.0,15.0,1.9750004767773484,1.555515908871113,4.176971231940827,2.2462291455601586
1180,15.365929584899392,13.608636835717222,1.1642004336805154,2.136188118521538,14.0,15.0,1.9750004767773484,1.555515908871113,4.175644289620872,2.1028103731026278
